Land Area,Trade flow,Commodity,Y2000,S_2000,Y2001,S_2001,Y2002,S_2002,Y2003,S_2003,Y2004,S_2004,Y2005,S_2005,Y2006,S_2006,Y2007,S_2007,Y2008,S_2008,Y2009,S_2009,Y2010,S_2010,Y2011,S_2011,Y2012,S_2012,Y2013,S_2013,Y2014,S_2014,Y2015,S_2015
Malaysia,Export,Fish,36882,,40425,,65467,,59354,,105761,,109040,,109970,,135042,,134276,,121042,,125374,,133596,,123357,,115541,,106349,,131126,
Maldives,Export,Fish,28796,,29224,,44625,,69545,,75416,,81292,,110581,,65813,,65122,,39813,,33934,,38795,,40711,,42605,,49434,,45409,
Mongolia,Export,Fish,427,,150,,263,,359,,172,,392,,321,,135,,54,F,45,F,176,F,210,F,108,F,34,,61,,93,
Myanmar,Export,Fish,72210,,92302,,138251,,136036,,124616,,192808,,190056,,185056,,265965,,264511,,313894,,302202,,318797,,302364,,273666,,257910,
Nepal,Export,Fish,33,F,25,F,0,-,9,,41,F,18,F,0,-,0,-,0,-,9,,0,0,6,,14,,8,,4,,6,
Oman,Export,Fish,35009,,27805,,46210,,47707,,77869,,53974,,47826,,35632,,51940,,62823,,84798,,61644,,64302,,83741,,76608,,96414,
Pakistan,Export,Fish,60766,,61028,,67485,,79994,,86887,,82497,,113235,,104807,,111575,,111495,,94632,,110847,,116239,,116502,,127653,,114365,
"Palestine, Occupied Tr.",Export,Fish,0,.,0,.,0,.,0,.,0,.,0,.,0,.,102,,50,,59,,19,,96,,42,,85,,0,-,119,F
Philippines,Export,Fish,118524,,89455,,94384,,110284,,106038,,72425,,90297,,109778,,145843,,143817,,147472,,148415,,183549,,243682,,202581,,172880,
Qatar,Export,Fish,1509,,2187,,2269,,2260,,2319,,4962,,3143,,2496,,2450,,3246,,5749,,3860,,1579,,2001,,1753,,1632,
Saudi Arabia,Export,Fish,1705,,1633,,1718,,2781,,4837,,7754,,8188,,8640,,10281,F,12638,F,13863,,19505,,16561,,19056,,24152,,20687,
Singapore,Export,Fish,84415,,70952,,56077,,57964,,60796,,69396,,68849,,60540,,53890,,45794,,50120,,41268,,38925,,32139,,24083,,30522,
Sri Lanka,Export,Fish,13202,,10052,,8589,,8653,,9325,,12189,,17111,,17320,,16802,,15146,,14430,,13967,,14257,,18157,,19865,,12915,
Syrian Arab Republic,Export,Fish,27,F,2,F,69,F,0,-,1,F,73,,92,,216,F,32,,118,,71,,81,F,29,F,21,F,10,F,41,F
Taiwan Province of China,Export,Fish,599330,,618046,,682606,,658306,,635379,,657175,,596999,,661244,,559637,,634118,,642328,,630685,,663220,,676758,,649656,,628021,
Thailand,Export,Fish,752920,,838377,,885382,,1023426,,1000520,,1092188,,1153738,,1197463,,1217032,,1171639,,1187153,,1167410,,1225595,,1147571,,1194308,,1105444,
Timor-Leste,Export,Fish,0,.,0,.,0,.,0,.,0,.,1,,0,-,0,-,0,-,0,-,0,-,0,0,2,F,12,,0,-,21,F
Turkey,Export,Fish,25292,,17746,,21016,,22715,,28027,,34531,,36305,,42249,,49889,,50266,,50849,,62855,,71188,,93082,,107951,,113548,
Turkmenistan,Export,Fish,2222,F,790,F,592,F,114,F,520,F,142,F,94,F,71,F,78,F,0,0,0,-,0,-,0,-,0,-,0,-,0,-
United Arab Emirates,Export,Fish,12599,F,16692,F,2631,,4922,,6551,F,8717,,12297,F,6437,,7480,,10746,,13621,,17865,F,7546,,11304,,9265,,9927,
Uzbekistan,Export,Fish,0,-,65,F,124,F,48,F,48,F,613,F,621,F,1081,F,819,F,663,F,1119,F,613,F,107,F,18,F,21,F,10,F
Viet Nam,Export,Fish,143094,,179271,,237076,,196643,,237978,,278514,F,455686,F,455221,F,614080,F,436985,F,629029,F,728324,F,857604,F,876308,,914401,F,934163,F
Yemen,Export,Fish,18698,,37019,,50067,,53050,,45266,,65213,,77101,,88600,,97621,,84019,,101021,,102562,,95793,,93116,,75374,F,47141,
Albania,Export,Fish,1534,,1795,,1971,F,2561,,2693,,511,,547,,300,,360,,3156,,3528,,3031,,3929,,4881,,4575,,5749,
Andorra,Export,Fish,0,-,0,-,0,-,0,-,0,-,8,F,0,-,0,-,0,-,2,,0,-,2,,1,,0,-,0,-,5,F
Austria,Export,Fish,4311,,3062,,5673,,8240,,10740,,4158,,2821,,3964,,4749,,5445,,6674,,8401,,10083,,10029,,8981,,8787,
Belarus,Export,Fish,13475,,10873,,9461,,13818,,17036,,20912,,28132,,33863,,38229,,22120,,24988,,30525,,36246,,49596,,57816,,54642,
Belgium,Export,Fish,61262,,75119,,73841,,84568,,86087,,83886,,90379,,82996,,87734,,78778,,80807,,73537,,72052,,74608,,81322,,87561,
Bosnia and Herzegovina,Export,Fish,60,F,35,F,155,F,468,,2313,,2375,,2795,,2488,,2776,,3033,,3146,,2981,,2332,,1976,,1673,,2105,
Bulgaria,Export,Fish,1783,,2054,,2916,,2985,,2979,,1800,,2175,,2499,,3228,,4184,,6398,,5366,,6028,,6748,,5390,,6184,
Croatia,Export,Fish,17117,,20148,,20959,,21524,,21971,,22719,,27792,,28969,,27570,,30901,,32407,,36980,,31118,,32239,,44289,,49485,
Czechia,Export,Fish,12130,,13312,,12787,,13374,,14780,,16916,,18801,,19646,,18549,,21523,,23205,,24221,,24663,,24269,,26342,,28196,
Denmark,Export,Fish,637646,,650058,,649867,,662694,,661030,,572849,,550500,,549724,,585764,,596224,,593963,,553339,,588827,,651031,,676476,,678250,
Estonia,Export,Fish,86655,,153377,,137614,,121656,,93981,,123390,,110943,,104266,,113022,,111809,,114965,,105848,,110503,,103665,,98934,,93380,
Faroe Islands,Export,Fish,149818,,195159,,210749,,192765,,162454,,172224,,167338,,207937,,195085,,236238,,259319,,280249,,286859,,311955,,312230,,319717,
Finland,Export,Fish,15851,,15770,,13528,,10359,,18789,,24636,,26130,,37998,,41647,,41916,,42963,,47415,,53123,,52890,,55877,,46283,
France,Export,Fish,332238,,303427,,275985,,340487,,374640,,288301,,282566,,261631,,293192,,225498,,207341,,199544,,232969,,216691,,188570,,206038,
